"SCINAME","COMNAME","SVSPP","SVABBR","PYSPP","PYABBR","NODCCODE","NODCTYPE","NODCLEVL","NODCCTRL","NODCAUTH","AUTHOR","PICTURE","COMMNT","O_SVSCNM","O_SVCONM","O_SVSPP","DOC","UOC","DOE","UOE"
"SCOMBEROMORUS MACULATUS","SPANISH MACKEREL",745,"SPANMACK","","","8850030502","","S","","(MITCHILL)","AFS-1991","","","Scomberomorus maculatus","Spanish Mackerel","745",09-AUG-95,"BK",,""
"SCOMBEROMORUS REGALIS","CERO",746,"CERO","","","8850030503","","S","","(BLOCH)","AFS-1991","","|SV: CORRECTED KEYPUNCH ERROR","Scomberomorus sierra","Cero","746",09-AUG-95,"BK",,""
"SCOMBRIDAE","MACKEREL AND TUNA UNCL",860,"MACKU","823216500000000","SCOFAM","885003","","F","","","AFS-1991","","|SV: CORRECTED COMMON NAME TO AFS STANDARD","Scombridae sp","Mackerel Tuna Uncl","860",01-JAN-99,"FPA",,""
"SCOPHTHALMUS AQUOSUS","WINDOWPANE",108,"WINDOW","823230112010000","SCOAQU","8857030401","","S","","(MITCHILL)","AFS-1991","","MONOTYPIC GENUS IN AREA","Scophthalmus aquosus","Windowpane","108",09-AUG-95,"BK",,""
"SCOPHTHALMUS AQUOSUS LARVAE","WINDOWPANE LARVAE",,"","823230112010200","SCOAQ1","NONE","","","","","FH-1995","","SPECIAL FCDI LIFE STAGE CODE","","","",28-DEC-94,"RAR",,""
"SCORPAENA AGASSIZI","LONGFIN SCORPIONFISH",753,"FINSCOR","","","8826010601","","S","","GOODE AND BEAN","AFS-1991","","","Scorpaena agassizi","Longfin Scorpionfish","753",09-AUG-95,"BK",,""
"SCORPAENA BRASILIENSIS","BARBFISH",754,"BARB","","","8826010605","","S","","CUVIER","AFS-1991","","","Scorpaena brasiliensis","Barbfish","754",09-AUG-95,"BK",,""
"SCORPAENA CALCARATA","SMOOTHHEAD SCORPIONFISH",755,"SMOSCOR","","","8826010606","","S","","GOODE AND BEAN","AFS-1991","","","Scorpaena calcarata","Smoothhead Scorpionfish","755",09-AUG-95,"BK",,""
"SCORPAENA DISPAR","HUNCHBACK SCORPIONFISH",756,"HUNSCOR","","","8826010607","","S","","LONGLEY AND HILDEBRAND","AFS-1991","","","Scorpaena dispar","Hunchback Scorpionfish","756",09-AUG-95,"BK",,""
"SCORPAENA GRANDICORNIS","PLUMED SCORPIONFISH",757,"PLUSCOR","","","8826010609","","S","","CUVIER","AFS-1991","","","Scorpaena grandicornis","Plumed Scorpionfish","757",09-AUG-95,"BK",,""
"SCORPAENA PLUMIERI","SPOTTED SCORPIONFISH",758,"SPOSCOR","","","8826010614","","S","","BLOCH","AFS-1991","","","Scorpaena plumieri","Spotted Scorpionfish","758",09-AUG-95,"BK",,""
"SCORPAENIDAE","SCORPIONFISH AND ROCKFISH UNCL",759,"SCORU","823216700000000","","882601","","F","","","AFS-1991","","|SV: MINOR EDITS","Scorpaenidae sp","Scorpionfish Uncl","759",08-MAR-99,"JM",,""
"ECHINARACHNIIDAE","",,"","612040100000000","SCUFAM","815502","","F","","","NODC","","COULD NOT VERIFY SCUTELLIDAE, USED NODC FAMILY","","","",28-DEC-94,"RAR",,""
"SCYLIORHINUS RETIFER","CHAIN DOGFISH",14,"CHDOG","","","8708010304","","S","","(GARMAN, 1881)","AFS-1991","","","Scyliorhinus retifer","Chain Dogfish","014",09-AUG-95,"BK",,""
"SCYLLARIDAE","SLIPPER LOBSTER UNCL",,"","411023900000000","SCYFAM","618202","","F","","","AFS-1989","","","","","",28-DEC-94,"RAR",,""
"SCYLLARIDES AEQUINOCTIALIS","SPANISH SLIPPER LOBSTER",303,"","","","6182020203","","S","","(LUND, 1793)","AFS-1989","","","Scyllarides aequinoctialis","Spanish Slipper Lobster","303",09-AUG-95,"BK",,""
"PSEUDOHAUSTORIUS SP","",,"","411011310000000","PSEUS1","61692213","","G","","BOUSFIELD, 1965","","","","","","",28-DEC-94,"RAR",,""
"PSEUDOLEPTOCUMA MINOR","",,"","411040103010000","PSEMIN","6154090301","","S","","","","","MONOTYPIC GENUS IN AREA","","","",28-DEC-94,"RAR",,""
"PSEUDOMMA AFFINE","",,"","411060313010000","PSEAFF","6153011935","","S","","","","","","","","",28-DEC-94,"RAR",,""
"PSEUDOMMA SP","",,"","411060313000000","PSEUS2","61530119","","G","","","","","","","","",28-DEC-94,"RAR",,""
"PSEUDUNCIOLA OBLIQUUA","",,"","411011006010000","PSEOBL","6169150801","","S","","SHOEMAKER, 1949","","","","","","",28-DEC-94,"RAR",,""
"PSEUDUNCIOLA SP","",,"","411011006000000","PSEUS3","61691508","","G","","BOUSFIELD, 1973","","","","","","",28-DEC-94,"RAR",,""
"PSEUDUPENEUS MACULATUS","SPOTTED GOATFISH",656,"SPOGOAT","","","8835450301","","S","","(BLOCH)","AFS-1991","","","Pseudupeneus maculatus","Spotted Goatfish","656",09-AUG-95,"BK",,""
"PSOLUS PHANTAPUS","",,"","615030302020000","PSOPHA","8172030205","","S","","","","","","","","",28-DEC-94,"RAR",,""
"PSOLUS SP","",,"","615030302000000","PSOLSP","81720302","","G","","","","","","","","",28-DEC-94,"RAR",,""
"PTERIA VITREA","GLASSY WING-OYSTER",,"","512061002030000","PTEVIT","5509010204","","S","","(REEVE,1857)","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"PTILANTHURA TENUIS","",,"","411030203010000","PTITEN","6160010301","","S","","HARGER, 1878","","","","","","",28-DEC-94,"RAR",,""
"PUNCTURELLA NOACHINA","DILUVIAN PUNCTURELLA",,"","514020501030000","PUNNOA","5102040202","","S","","(LINNAEUS, 1771)","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"SELENE SETAPINNIS","ATLANTIC MOONFISH",132,"MOON","","","8835280705","","S","","MITCHILL","AFS-1991","","|SV: NAME CHANGE AFS-1980","Vomer setapinnis","Atlantic Moonfish","132",09-AUG-95,"BK",,""
"SELENE VOMER","LOOKDOWN",133,"LOOKDOWN","823211411020000","SELVOM","8835280701","","S","","(LINNAEUS)","AFS-1991","","","Selene vomer","Lookdown","133",09-AUG-95,"BK",,""
"SEMIROSSIA TENERA","LESSER SHINING BOBTAIL",507,"","515011303010000","SEMTEN","5704020102","","S","S","VERRILL,1880","AFS-1988","","|SV: ASSIGNED NEW CODE 15 AUG. 1995","","","",28-DEC-94,"RAR",,""
"SEPIOLIDAE","BOBTAIL UNCL",506,"","515011300000000","SEPFAM","570402","","F","","LEACH,1817","AFS-1988","","|COMMON NAME CHANGED, SV USUALLY = ROSSIA SPP., FH CAN BE ANY SPECIES","","","",01-JAN-99,"FPA",,""
"SERGESTIDAE","SERGESTID SHRIMP UNCL",,"","411023200000000","SERFAM","617702","","F","","DANA, 1852","AFS-1989","","","","","",28-DEC-94,"RAR",,""
"SERIOLA DUMERILI","GREATER AMBERJACK",203,"GRAMBER","","","8835280801","","S","","(RISSO)","AFS-1991","","","Seriola dumerili","Greater Amberjack","203",09-AUG-95,"BK",,""
"SERIOLA FASCIATA","LESSER AMBERJACK",877,"LEAMBER","","","8835280802","","S","","(BLOCH)","AFS-1991","","","Seriola fasciata","Lesser Amberjack","877",09-AUG-95,"BK",,""
"SERIOLA RIVOLIANA","ALMACO JACK",578,"ALMJACK","","","8835280803","","S","","VALENCIENNES, 1833","AFS-1991","","","Seriola rivoliana","Almaco Jack","578",09-AUG-95,"BK",,""
"SERIOLA ZONATA","BANDED RUDDERFISH",204,"RUDDER","","","8835280804","","S","","(MITCHILL)","AFS-1991","","","Seriola zonata","Banded Rudderfish","204",09-AUG-95,"BK",,""
"SERPULIDAE","",,"","214130400000000","SERFA1","500173","","F","","","","","","","","",28-DEC-94,"RAR",,""
"SERRANICULUS PUMILIO","PYGMY SEA BASS",547,"PYSEABAS","","","8835022201","","S","","GINSBURG","AFS-1991","","","Serraniculus pumilio","Pygmy Sea Bass","547",09-AUG-95,"BK",,""
"SERRANIDAE","SEA BASS UNCL",554,"SEABASU","823217000000000","SERFA2","883502","","F","","","AFS-1991","","|SV: MINOR EDITS","Serranidae sp","Sea Bass Uncl","554",01-JAN-99,"FPA",,""
"SERRANUS ANNULARIS","ORANGEBACK BASS",548,"ORABAS","","","8835022301","","S","","GUNTHER","AFS-1991","","","Serranus annularis","Orangeback Bass","548",09-AUG-95,"BK",,""
"SERRANUS ATROBRANCHUS","BLACKEAR BASS",549,"EARBAS","","","8835022302","","S","","CUVIER","AFS-1991","","","Serranus atrobranchus","Blackear Bass","549",09-AUG-95,"BK",,""
"SERRANUS BALDWINI","LANTERN BASS",550,"LANBAS","","","8835022303","","S","","EVERMANN MARSH","AFS-1991","","|SV: CORRECTED TYPO","Serranus balawini","Lantern Bass","550",09-AUG-95,"BK",,""
"SERRANUS NOTOSPILUS","SADDLE BASS",551,"SADBAS","","","8835022307","","S","","LONGLEY","AFS-1991","","","Serranus notospilus","Saddle Bass","551",09-AUG-95,"BK",,""
"SERRANUS PHOEBE","TATTLER",552,"TATTLER","","","8835022308","","S","","POEY","AFS-1991","","","Serranus phoebe","Tattler","552",09-AUG-95,"BK",,""
"SERRANUS SUBLIGARIUS","BELTED SANDFISH",553,"BELSAND","","","8835022309","","S","","COPE","AFS-1991","","","Serranus subligarius","Belted Sandfish","553",09-AUG-95,"BK",,""
"SERRIPES GROENLANDICUS","GREENLAND COCKLE",418,"","","","5515220201","","S","","(BRUGUIERE,1789)","AFS-1988","","","Serripes groenlandicus","Greenland Cockle","418",09-AUG-95,"BK",,""
"SERTULARIA SP","",,"","051011203000000","SERTSP","37040503","","G","","LINNAEUS,1758","AFS-1991","","","","","",28-DEC-94,"RAR",,""
"SERTULARIIDAE","",,"","051011200000000","SERFA3","370405","","F","","FLEMING, 1828","AFS-1991","","","","","",28-DEC-94,"RAR",,""
"SELACHIMORPHA","SHARK UNCL",11,"SHARKU","822030000000000","SHARK","8703","","","","","FH-1995","","NON-TAXON UNKNOWN SHARK |SV: NON-TAXONOMIC GROUP, DUP WITH 10","Shark uncl","Shark Uncl","011",01-JAN-99,"FPA",,""
"SICYONIA BREVIROSTRIS","BROWN ROCK SHRIMP",316,"ROCKSHR","","","6177040101","","S","","STIMPSON, 1874","AFS-1989","","|SV: NOTE POSS. ID PROB., SEVERAL ROCK SHRIMP SPP.","Sicyonia brevirostris","Rock Shrimp","316",09-AUG-95,"BK",,""
"SICYONIA SP","ROCK SHRIMP UNCL",,"","411024501000000","SICYSP","61770401","","G","","MILNE-EDWARDS,1830","AFS-1989","","SINGLE GENUS IN FAMILY","","","",28-DEC-94,"RAR",,""
"SIGALION ARENICOLA","",,"","214112306010000","SIGARE","5001060401","","S","","VERRILL","","","","","","",28-DEC-94,"RAR",,""
"SIGALION SP","",,"","214112306000000","SIGASP","50010604","","G","","","","","","","","",28-DEC-94,"RAR",,""
"SIGALIONIDAE","",,"","214112300000000","SIGFAM","500106","","F","","","","","","","","",28-DEC-94,"RAR",,""
"SILIQUA COSTATA","ATLANTIC RAZOR",,"","512082502010000","SILCOS","5515290105","","S","","SAY,1822","AFS-1988","","MONOTYPIC GENUS IN AREA","","","",28-DEC-94,"RAR",,""
"SIMENCHELYS PARASITICUS","SNUBNOSE EEL",64,"SNUBNEEL","","","8741160101","","","","","Scott/Scott 1988","","NODC SPELLING ERROR","Simenchelys parasiticus","Slime Eel","064",08-MAR-99,"JM",,""
"SIPHONOPHORA","",,"","051030000000000","SIPHON","3715","","O","","ESCHSCHOLTZ, 1829","AFS-1991","","","","","",28-DEC-94,"RAR",,""
"SIPUNCULA","SIPUNCULAN UNCL",,"","310000000000000","SIPUNC","72","","P","","","RUPPERT AND BARNS 94","","CORRECTED SPELLING","","","",28-DEC-94,"RAR",,""
"SOLEIDAE","SOLE AND TONGUEFISH UNCL",,"","823230400000000","SOLFAM","885801","","F","","","AFS-1991","","CYNOGLOSSIDAE + SOLEIDAE","","","",28-DEC-94,"RAR",,""
"SOLEMYA VELUM","ATLANTIC AWNINGCLAM",,"","512070101040000","SOLVEL","5504010101","","S","","SAY,1822","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"SOLEMYIDAE","AWNINGCLAM UNCL",,"","512070100000000","SOLFA1","550401","","F","","H. & A. ADAMS,1857","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"SOLEN VIRIDIS","GREEN JACKKNIFE",,"","512082503010000","SOLVIR","5515290202","","S","","SAY,1821","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"SOLENIDAE","RAZOR AND JACKKNIFE CLAM UNCL",416,"","512082500000000","SOLFA2","551529","","F","","LAMARCK,1809","AFS-1988","","INCLUDES ID'ED AS 'RAZOR CLAM' |SV: MOST PROB. E. DIRECTUS, CHECK ID PROBLEMS CO","Ensis directus","Common Razor Clam","416",08-MAR-99,"FPA",,""
"SOLENIDAE SHELL","RAZOR AND JACKKNIFE CLAM SHELL",,"","512082500000004","SOLSHE","NONE","","","","","FH-1995","","SPECIAL FCDI STRUCTURE CODE FOR SHELLS IN STOMACH","","","",28-DEC-94,"RAR",,""
"SPARIDAE","PORGY AND PINFISH UNCL",643,"PORGYU","823217100000000","","883543","","F","","","AFS-1991","","|SV: MINOR EDITS","Sparidae sp","Porgy Uncl","643",08-MAR-99,"FPA",,""
"SPARISOMA RADIANS","BUCKTOOTH PARROTFISH",687,"BUCPARR","","","8839030404","","S","","(VALENCIENNES)","AFS-1991","","","Sparisoma radians","Bucktooth Parrotfish","687",09-AUG-95,"BK",,""
"SPHAERODORIDAE","",,"","214112400000000","SPHFAM","500126","","F","","","","","","","","",28-DEC-94,"RAR",,""
"SPHAERODORUM GRACILIS","",,"","214112402010000","SPHGRA","5001260101","","S","","TREADWELL","","","","","","",28-DEC-94,"RAR",,""
"SPHAEROMATIDAE","",,"","411031100000000","SPHFA1","616102","","F","","MILNE EDWARDS, 1840","RUPPERT AND FOX 1988","","CORRECTED SPELLING","","","",28-DEC-94,"RAR",,""
"SPHOEROIDES DORSALIS","MARBLED PUFFER",843,"MARPUFF","","","8861010205","","S","","LONGLEY","AFS-1991","","","Sphoeroides dorsalis","Marbled Puffer","843",09-AUG-95,"BK",,""
"SPHOEROIDES MACULATUS","NORTHERN PUFFER",196,"NORPUFF","823280603030000","SPHMAC","8861010201","","S","","(BLOCH AND SCHNEIDER)","AFS-1991","","","Sphoeroides maculatus","Northern Puffer","196",09-AUG-95,"BK",,""
"SPHOEROIDES NEPHELUS","SOUTHERN PUFFER",844,"SOUPUFF","","","8861010208","","S","","(GOODE AND BEAN)","AFS-1991","","","Sphoeroides nephelus","Southern Puffer","844",09-AUG-95,"BK",,""
"SPHOEROIDES PACHYGASTER","BLUNTHEAD PUFFER",880,"BLUPUFF","","","8861010209","","S","","(MUELLER AND TROSCHEL)","AFS-1991","","","Sphoeroides pachygaster","Blunthead Puffer","880",09-AUG-95,"BK",,""
